Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""0765376458""","=""9780765376459""",0,4.06,Tor,Hardcover,400,2015,2015,,2024/01/07,to-read,to-read (#167),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.20,Knopf,Hardcover,401,2022,2022,,2022/12/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
54102727,Siren Queen,Nghi Vo,"Vo, Nghi",,"=""""","=""""",0,3.68,Tor.com,Kindle Edition,281,2022,2022,,2024/01/07,to-read,to-read (#166),to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",3,3.85,Tor Books,Paperback,1006,2006,2004,2024/01/07,2023/12/09,,,read,oh my god it's finally done. clarke is such a talented writer and her style reminds me a lot of murakami mixed with neil gaiman HOWEVER this needed serious editing for length. I gave up on the footnotes halfway. like her mind is amazing and none of the details are individually unenjoyable but it's too much. like chocolate cake and ice cream and a donut and a cookie and a milkshake all on the same day. read piranesi instead. nick said it goes from a 3/10 to a 6.5/10 and he was right. my favorite character is the silver haired gentleman.,,,1,0
158875813,Prophet Song,Paul    Lynch,"Lynch, Paul",,"=""""","=""""",0,4.23,Oneworld Publications,Kindle Edition,320,2023,2023,,2024/01/04,to-read,to-read (#165),to-read,,,,0,0
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,"=""0593422945""","=""9780593422946""",0,4.22,Riverhead Books,Hardcover,380,2023,2023,,2023/09/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
16126596,The People in the Trees,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385536771""","=""9780385536776""",0,3.73,Doubleday,Hardcover,369,2013,2013,,2024/01/01,to-read,to-read (#164),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",2,3.81,Hogarth,Hardcover,273,2019,2018,2023/12/31,2022/07/17,,,read,sorry I know this isn't my genre but this isn't a win for me. thank you jamie for giving it to me but I found the characters unbelievable after they left primary school. that section was well done though,,,1,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""""","=""""",4,3.88,Tor Books,Kindle Edition,416,2021,2021,2023/12/30,2023/12/22,,,read,honestly very torn here. bumping up a star for a debut book and the author is SO talented with words and the individual scenes were so rich with emotion and imagery I enjoyed them but the frequent POV changes and parallel storylines didn't work for me <br/> and I had trouble following it all. it felt like it either needed to be a lot longer or edited down? many scenes are unforgettable and I will think about for a long time but as a whole novel idk if I can recommend!!,,,1,0
50523477,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,"=""0356515648""","=""9780356515649""",0,4.14,Orbit,Paperback,533,2021,2021,,2023/12/28,to-read,to-read (#163),to-read,,,,0,0
52879286,Humankind: A Hopeful History,Rutger Bregman,"Bregman, Rutger","Elizabeth Manton, Erica Moore","=""0316418536""","=""9780316418539""",0,4.33,"Little, Brown and Company",Hardcover,462,2020,2019,,2023/12/27,to-read,to-read (#162),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""""","=""""",0,4.66,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2023/12/23,to-read,to-read (#161),to-read,,,,0,0
36373481,The Death of Mrs. Westaway,Ruth Ware,"Ware, Ruth",,"=""1501156217""","=""9781501156212""",2,3.81,Scout Press,Hardcover,368,2018,2018,2023/12/22,2023/05/30,,,read,like half of this book is just describing how vision works<br/><br/>a shadow of an object appeared in her periphery. she was scared because she didn't know what it was. what could it be? suspense? fear! then she moved her eyes. it was a very easily recognizable object! phew. ,,,1,0
4602032,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"Harris, Charlaine",,"=""0441016995""","=""9780441016990""",1,3.97,Ace Books,Mass Market Paperback,292,2008,2001,2023/12/19,2023/12/09,,,read,i cannot overemphasize how awful this book is. how did they turn this into a popular tv show. ,,,1,0
25734248,"The Widow (Kate Waters, #1)",Fiona Barton,"Barton, Fiona",,"=""1101990260""","=""9781101990261""",3,3.50,Berkley,Hardcover,324,2016,2016,2023/12/17,2023/12/09,,,read,better written than most silly thrillers,,,1,0
58724712,Wandering Earth,Liu Cixin,"Cixin, Liu",,"=""1250796849""","=""9781250796844""",4,4.23,Tor Trade,Paperback,464,2022,,2023/08/13,2023/07/03,,,read,"will write a more detailed review later of all the stories, but shockingly the namesake one is not great! others much better. ",,,1,0
55559887,"The Last Graduate (The Scholomance, #2)",Naomi Novik,"Novik, Naomi",,"=""0593128869""","=""9780593128862""",3,4.27,Del Rey,Hardcover,388,2021,2021,2023/12/16,2023/12/09,,,read,"would have given it 4 stars because the world building is so rich but the dialogue and characters are so bad, and the one spicy scene made me physically ill. it was so unnecessary ",,,1,0
6649312,Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us (Issues of Our Time),Claude M. Steele,"Steele, Claude M.",,"=""039306249X""","=""9780393062496""",0,3.93,W. W. Norton & Company,Hardcover,242,2010,2010,,2023/12/14,to-read,to-read (#160),to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,710,2000,2000,,2023/12/12,to-read,to-read (#159),to-read,,,,0,0
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.19,Nan A. Talese,Hardcover,422,2019,2019,,2023/12/12,to-read,to-read (#158),to-read,,,,0,0
57282218,"Lore Olympus: Volume One (Lore Olympus, #1)",Rachel  Smythe,"Smythe, Rachel",,"=""0593160290""","=""9780593160299""",0,4.29,Del Rey,Hardcover,384,2021,2021,,2023/12/12,to-read,to-read (#157),to-read,,,,0,0
75293507,Never Whistle at Night: An Indigenous Dark Fiction Anthology,Shane Hawk,"Hawk, Shane","Theodore C. Van Alst Jr., Stephen Graham Jones, Norris Black, Amber Blaeser-Wardzala, Phoenix Boudreau, Cherie Dimaline, Carson Faust, Kelli Jo Ford, Kate  Hart, David Heska Wanbli Weiden, Brandon Hobson, Darcie Little Badger, Conley Lyons, Nick Medina, Tiffany Morris, Tommy Orange, Mona Susan Power, Marcie R. Rendon, Waubgeshig Rice, Rebecca Roanhorse, Andrea L. Rogers, Morgan Talty, D.H. Trujillo, Richard Van Camp, Royce Young Wolf, Mathilda Zeller","=""0593468465""","=""9780593468463""",0,4.11,Vintage,Paperback,400,2023,2023,,2023/12/12,to-read,to-read (#156),to-read,,,,0,0
4952,What Is the What,Dave Eggers,"Eggers, Dave",,"=""1932416641""","=""9781932416640""",0,4.14,McSweeney's,Hardcover,475,2006,2006,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#155), home-shelf-havent-read (#39)",to-read,,,,0,0
28407,Germinal,Émile Zola,"Zola, Émile",Roger Pearson,"=""0140447423""","=""9780140447422""",0,4.18,Penguin Classics,Paperback,592,2004,1885,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#154), home-shelf-havent-read (#38)",to-read,,,,0,0
12894834,Fevre Dream,George R.R. Martin,"Martin, George R.R.",,"=""055357793X""","=""9780553577938""",0,3.89,Bantam,Mass Market Paperback,461,2012,1982,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#153), home-shelf-havent-read (#34)",to-read,,,,0,0
31259,"The Bourne Ultimatum (Jason Bourne, #3)",Robert Ludlum,"Ludlum, Robert",,"=""0752858491""","=""9780752858494""",0,4.07,Orion,Mass Market Paperback,725,2004,1990,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#152), home-shelf-havent-read (#32)",to-read,,,,0,0
35259261,The Sinner,Petra Hammesfahr,"Hammesfahr, Petra",J. Maxwell Brownjohn,"=""0143132857""","=""9780143132851""",0,3.34,Penguin Books,Paperback,387,2017,1999,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#151), home-shelf-havent-read (#30)",to-read,,,,0,0
53138081,The Four Winds,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.30,St. Martin's Press,Hardcover,464,2021,2021,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#150), home-shelf-havent-read (#29)",to-read,,,,0,0
58727904,Mart of Darkness: When More Is Not Enough,Phil Granchi,"Granchi, Phil",,"=""0984391444""","=""9780984391448""",0,4.25,All Mart Books,Kindle Edition,0,2021,,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#149), home-shelf-havent-read (#28)",to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2023/12/09,"to-read, home-shelf-havent-read","to-read (#148), home-shelf-havent-read (#26)",to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",3,4.43,Atria Books,Hardcover,389,2017,2017,2023/12/09,2023/08/30,,,read,so blah!! I recognize this is not my genre so dont take my review too heavily but I was surprised by none of the twists they were all so clearly foreshadowed?? jamie you have led me wrong. I could have put it down at any point and wouldnt have been bothered,,,1,0
53285047,Bunny,Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.53,Penguin Books,Paperback,305,2020,2019,,2023/12/05,to-read,to-read (#147),to-read,,,,0,0
60177373,Fairy Tale,Stephen King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.12,Scribner,Hardcover,599,2022,2022,,2023/12/04,to-read,to-read (#146),to-read,,,,0,0
7061,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400034779""","=""9781400034772""",2,3.81,Anchor,Paperback,235,2003,1998,2023/12/03,2023/12/03,,,read,,,,1,0
17645,The Penelopiad,Margaret Atwood,"Atwood, Margaret",,"=""1841957178""","=""9781841957173""",3,3.72,Canongate U.S.,Hardcover,198,2005,2005,2023/12/02,2023/10/27,,,read,not enough here for me but I had fun talking about it with others,,,1,0
43565379,Tinfoil Butterfly,Rachel Eve Moulton,"Moulton, Rachel Eve",,"=""0374538301""","=""9780374538309""",2,3.30,MCD x FSG Originals,Paperback,264,2019,2019,2023/12/03,2023/12/03,,,read,I've been trying to slog through this forever. there's not really a plot so I don't know what to say. ,,,1,0
42361218,"Princess of Dorsa (The Chronicles of Dorsa, #1)",Eliza Andrews,"Andrews, Eliza",,"=""""","=""""",3,4.30,,Kindle Edition,591,2018,2018,2023/12/02,2023/11/06,,,read,ashdkfjshsk I hate a cliffhanger ending to a decidedly mid book!! do I read the next one or not!!!,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.94,Scholastic Press,Kindle Edition,541,2020,2020,,2023/11/26,to-read,to-read (#145),to-read,,,,0,0
61053829,I Have Some Questions for You,Rebecca Makkai,"Makkai, Rebecca",,"=""0593490142""","=""9780593490143""",0,3.64,Viking,Hardcover,438,2023,2023,,2023/11/26,to-read,to-read (#144),to-read,,,,0,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",5,4.52,The New Press Inc.,Hardcover,290,2010,2010,2021/04/04,2021/03/17,,,read,,,,1,0
42853221,Our Women on the Ground: Essays by Arab Women Reporting from the Arab World,Zahra Hankir,"Hankir, Zahra",Christiane Amanpour,"=""""","=""""",0,4.49,Penguin Books,Kindle Edition,288,2019,2019,,2023/11/10,to-read,to-read (#143),to-read,,,,0,0
10628,Night Shift,Stephen King,"King, Stephen",,"=""""","=""""",4,4.03,Hodder & Stoughton,Paperback,409,1979,1978,2023/10/31,2021/05/08,,,read,some good and some not so good! the lawn mower one was wild. finished on a depressing note. ,,,1,1
65916344,Holly,Stephen King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.18,Scribner,Hardcover,449,2023,2023,,2023/10/24,to-read,to-read (#142),to-read,,,,0,0
2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,"=""""","=""""",3,3.79,Penguin Books,Paperback,431,2008,2007,2023/10/17,2023/07/06,,,read,"i really dont know!!! kept me engaged but i hated the main character, wasnt floored by the twist, and the ending was a let down. clearly i missed something idk",,,1,0
61273694,"The Exceptions: Nancy Hopkins, MIT, and the Fight for Women in Science",Kate Zernike,"Zernike, Kate",,"=""1982131837""","=""9781982131838""",0,4.48,Scribner,Hardcover,411,2023,2023,,2023/10/17,to-read,to-read (#141),to-read,,,,0,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,"=""0142001619""","=""9780142001615""",0,3.75,Penguin Books,Paperback,484,2003,2002,,2023/10/06,to-read,to-read (#140),to-read,,,,0,0
58536037,"Woman, Eating",Claire Kohda,"Kohda, Claire",,"=""0063140888""","=""9780063140882""",0,3.48,HarperVia,Hardcover,240,2022,2022,,2023/09/30,to-read,to-read (#139),to-read,,,,0,0
