Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40590406,Murder in the City of Liberty (A Van Buren and DeLuca Mystery #2),Rachel McMillan,"McMillan, Rachel",,"=""0785216960""","=""9780785216964""",3,3.59,Thomas Nelson,Paperback,322,2019,2019,2025/01/01,2022/12/20,own-physical,own-physical (#193),read,"I was very confused about what was going on, partially but definitely not entirely bc this is a book 2 and I got it in a blind date w a book without reading 1. but I support the anti fascist rhetoric!",,,1,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.22,Avon Eos,Mass Market Paperback,208,1998,1995,,2024/12/30,to-read,to-read (#183),to-read,,,,0,0
18378002,Intuition Pumps And Other Tools for Thinking,Daniel C. Dennett,"Dennett, Daniel C.",,"=""0393348784""","=""9780393348781""",0,3.78,W. W. Norton & Company,Paperback,496,2014,2013,,2022/12/20,"home-shelf-havent-read, own-physical, currently-reading","home-shelf-havent-read (#2), own-physical (#192), currently-reading (#1)",currently-reading,,,,1,0
268272,Uncommon Sense: The Heretical Nature of Science,Alan Cromer,"Cromer, Alan",,"=""0195082133""","=""9780195082135""",1,4.01,Oxford University Press,Hardcover,240,1993,1993,2024/12/27,2022/12/20,own-physical,own-physical (#198),read,"we agree that the teaching of science to kids needs a reform, but on nothing else. again: not his fault that he is wrong about the future (like californium being the last possible element) but it is his fault that he centers all of human history on greece. no other peoples ever invented anything, obviously!",,,1,0
44087805,The Street,Ann Petry,"Petry, Ann",Tayari Jones,"=""0358187540""","=""9780358187547""",0,4.27,Mariner Books Classics,Paperback,378,2020,1946,,2024/12/25,to-read,to-read (#182),to-read,,,,0,0
50403499,Just Us: An American Conversation,Claudia Rankine,"Rankine, Claudia",,"=""1644450216""","=""9781644450215""",5,4.35,Graywolf Press,Hardcover,352,2020,2020,2024/12/25,2022/12/20,own-physical,own-physical (#194),read,I've had this in my car all year as a casual read I could pick up when I had time and I totally recommend reading it in that way-- it's not easy topic wise or stylistically to read straight through but it gives you so much to think about it's really worth savoring that way. I went through most essays twice and will probably come back again in the future!,,,1,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",1,3.95,Knopf,Hardcover,944,2011,2009,2024/12/22,2020/12/17,own-physical,own-physical (#187),read,so bad in so many ways. nothing redeeming. don't even know where to start. im mad I read the whole thing. literally why did this win awards,,,1,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,4.32,Faber & Faber,Paperback,89,2010,2010,,2024/12/20,to-read,to-read (#181),to-read,,,,0,0
20706316,"Winter Street (Winter, #1)",Elin Hilderbrand,"Hilderbrand, Elin",,"=""0316376116""","=""9780316376112""",0,3.80,"Little, Brown and Company",Hardcover,249,2014,2014,,2024/12/10,to-read,to-read (#180),to-read,,,,0,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",0,4.18,Riverhead Books,Kindle Edition,490,2024,2024,,2024/12/10,to-read,to-read (#179),to-read,,,,0,0
40727626,Free Food for Millionaires,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,3.85,Grand Central Publishing,Kindle Edition,577,2007,2007,,2024/12/10,to-read,to-read (#178),to-read,,,,0,0
201626940,Ask Not: The Kennedys and the Women They Destroyed,Maureen Callahan,"Callahan, Maureen",,"=""0316276170""","=""9780316276177""",0,4.17,"Little, Brown and Company",Hardcover,400,2024,2024,,2024/12/10,to-read,to-read (#177),to-read,,,,0,0
